1,2373223,5
1,2373223,5
1,2373223,5
1,2373223,2
1,2373223,2
1,1845253,4
1,2520855,4
1,2520855,5
1,2520855,2
1,2520855,2
1,2520855,5
1,1367251,3
1,1367251,5
1,1367251,2
1,1367251,3.5
1,2520984,1
1,2520984,2
1,2520984,5
1,2520984,1
1,2520984,5
1,1117141,3
1,1117141,2
1,1117141,3
1,1117141,3
1,130307,2.5
1,2521030,4
1,2521030,4
1,2521030,2
1,2521030,2.5
1,2521030,5
1,130257,3
1,130257,3
1,130257,4
1,130257,3
1,1829586,2
1,126513,4
1,126513,4
1,130781,5
1,130781,5
1,130781,2
1,130781,5
1,130781,3
1,1836287,4.5
1,129730,1
1,129730,5
1,985264,4
1,985264,1
1,985264,3.5
1,985264,1
1,985264,1
1,1603543,5
1,1603543,2
1,1603543,1.5
1,1603543,1.5
1,1603543,1
1,2520693,5
1,2520693,1
1,2520693,4
1,130366,2
1,130366,3
1,130366,4
1,130366,5
1,2520874,2
1,2520874,3
1,2520874,5
1,1362516,5
1,1362516,2
1,1362516,2
1,131307,1
1,131307,1.5
1,131307,5
1,131307,1.5
1,1918710,1
1,2520986,2
1,2520986,2
1,2520986,4
1,482153,4
1,482153,5
1,482153,4
1,131008,5
1,131008,2
1,2520884,3
1,2520884,1
1,2520884,4
1,2520884,2.5
1,1021171,3
1,2520745,2
1,2520745,2
1,2520745,1.5
2,2521022,2
2,2521022,1
2,2521022,5
2,2521022,5
2,2521022,2
2,814237,1
2,814237,5
2,814237,5
2,814237,5
2,126753,1
2,126753,4
2,126753,4
2,126753,3.5
2,2520645,3
2,1369066,1
2,1369066,1.5
2,1369066,5
2,1369066,1
2,1369066,5
2,264133,2
2,264133,2
2,129921,2.5
2,1878255,2
2,1878255,5
2,1878255,3
2,250134,5
2,250134,1
2,250134,2
2,250134,4
2,250134,4
2,300076,2
2,300076,4
2,300076,1
2,699249,2
2,699249,2
2,2520994,2
2,126918,3
2,126918,1
2,2453104,5
2,2453104,4
2,132522,3
2,132522,3
2,131313,4
2,131313,5
2,130598,2
2,130598,5
2,130598,3
2,1957600,2
2,1957600,1
2,1957600,1
2,1957600,1.5
2,1957600,4.5
2,231962,2
2,2520943,2
2,2520943,4
2,2520943,2
2,2520943,2
2,130183,1
2,130183,3
2,130183,3
2,130183,3
2,130183,1
3,2373550,1
3,2373550,2
3,2373550,3
3,2373550,1
3,2373550,4
3,486625,4.5
3,486625,5
3,129902,1
3,129902,1
3,129902,1
3,2469920,4
3,2469920,4
3,2469920,3.5
3,1439094,5
3,1439094,5
3,250330,5
3,250330,5
3,250330,3
3,250330,1
3,250330,5
3,749192,5
3,749192,5
3,2520463,4
3,2520463,4
3,2520463,1
3,2520463,4
3,1977705,5
3,2518733,1
3,2518733,2
3,2518733,3
3,2518733,2
3,2518733,4
3,2520803,5
3,2520803,3.5
3,2520803,5
3,1602451,5
3,1602451,1
3,1602451,3
3,130636,2
3,130636,1
3,130636,5
3,130636,1
3,132420,3
3,132420,5
3,1013661,4
3,2520692,5
3,130306,1
3,130764,5
3,130764,4
3,2520688,1
3,1117141,4
3,1117141,5
3,1117141,5
3,1021180,2
3,1021180,1
4,129507,2.5
4,316294,2
4,316294,3
4,316294,1
4,482112,3
4,2521032,4
4,2521032,2
4,2521032,5
4,2521032,3
4,130925,4
4,130925,3
4,130233,2
4,130233,1
4,130233,3
4,130233,3
4,2520878,4
4,2520878,4
4,2520878,1
4,2520667,1
4,2520667,3
4,2520667,3
4,2520667,5
4,2520667,3
4,1304299,4
4,1606042,3
4,1606042,4
4,1606042,1
4,1606042,4
4,1606042,5
4,970052,3
4,970052,3
4,970052,4
4,309291,2
4,309291,4.5
4,309291,5
4,2521074,1
4,2521074,2
4,2521074,2
4,2521074,5
